41.878377,-87.627678,28.24
41.751238,-87.712990,19.83
41.736314,-87.624179,26.17
41.722457,-87.575350,45.70
41.736495,-87.614529,35.07
41.751295,-87.605288,36.47
41.923996,-87.761072,22.45
41.866786,-87.666306,45.01 
41.808594,-87.665048,19.82
41.786756,-87.664343,26.21
41.791329,-87.598677,22.04
41.751142,-87.712990,20.20
41.831070,-87.617298,20.50
41.788979,-87.597995,42.15
41.914094,-87.683022,21.67
41.871480,-87.676440,25.14
41.736593,-87.604759,45.01 
41.896157,-87.662391,21.16
41.788608,-87.598713,19.50
41.924903,-87.687703,21.61
41.895005,-87.745817,32.03
41.892003,-87.611643,28.30
41.839066,-87.665685,20.11
41.967590,-87.762570,40.60
41.885750,-87.629690,42.80
41.714021,-87.659612,31.46
41.721301,-87.662630,21.35
41.692703,-87.621020,21.99
41.691803,-87.663723,21.62
41.779744,-87.654487,20.88
41.820972,-87.802435,20.55
41.792543,-87.600008,20.41
